epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,4566.59,1.31182,1.19128,1.33428,0.67806,0.4792,0.52846,0.29962,1.78109,1.54373,1.71937,0.000976293,0.000976293,0.000976293
18,6964.58,1.27316,1.12746,1.29717,0.64764,0.49382,0.5374,0.30305,1.77691,1.53413,1.74413,0.000947999,0.000947999,0.000947999
19,9161.72,1.25875,1.10764,1.28545,0.63616,0.52683,0.54722,0.30491,1.75633,1.46051,1.70235,0.000919704,0.000919704,0.000919704
20,11353.4,1.25543,1.09014,1.28284,0.68243,0.48424,0.52863,0.30147,1.73845,1.48987,1.69305,0.00089141,0.00089141,0.00089141
21,14170.6,1.24335,1.07366,1.2703,0.69676,0.4869,0.53349,0.29559,1.77316,1.49271,1.72011,0.000863116,0.000863116,0.000863116
22,16631.5,1.23734,1.06593,1.27155,0.70078,0.50303,0.554,0.31163,1.70392,1.4676,1.66343,0.000834822,0.000834822,0.000834822
23,18827.5,1.22322,1.03538,1.25885,0.67115,0.50947,0.54963,0.3105,1.75898,1.47808,1.70079,0.000806528,0.000806528,0.000806528
24,21038.9,1.20418,1.02818,1.24836,0.67364,0.51939,0.55919,0.32033,1.73083,1.45213,1.68803,0.000778233,0.000778233,0.000778233
25,23227.3,1.2044,1.00961,1.25188,0.69644,0.50824,0.55378,0.31523,1.72409,1.43082,1.66746,0.000749939,0.000749939,0.000749939
26,25429.7,1.18922,0.99315,1.24147,0.67376,0.54094,0.55452,0.31625,1.73954,1.41344,1.68785,0.000721645,0.000721645,0.000721645
27,27624.2,1.18406,0.98467,1.23658,0.69082,0.5103,0.55346,0.31695,1.7232,1.392,1.67779,0.000693351,0.000693351,0.000693351
28,29917.5,1.16812,0.96776,1.22919,0.7294,0.53475,0.57726,0.33091,1.70236,1.32643,1.66076,0.000665057,0.000665057,0.000665057
29,32367.6,1.16125,0.94928,1.22119,0.70273,0.5218,0.57561,0.329,1.72628,1.41041,1.68597,0.000636762,0.000636762,0.000636762
30,34562.4,1.16066,0.94739,1.2202,0.69289,0.52643,0.57143,0.32382,1.73366,1.43376,1.68469,0.000608468,0.000608468,0.000608468
31,36779,1.14119,0.92973,1.2139,0.69519,0.53231,0.56998,0.33525,1.71287,1.37446,1.64579,0.000580174,0.000580174,0.000580174
32,39012.6,1.13758,0.91027,1.20577,0.71909,0.51807,0.57759,0.33833,1.71974,1.34313,1.65708,0.00055188,0.00055188,0.00055188
33,41242.9,1.15765,0.93884,1.21419,0.6977,0.53247,0.57882,0.33622,1.70425,1.3756,1.63121,0.000523586,0.000523586,0.000523586
34,43715.7,1.14062,0.92155,1.20563,0.70495,0.54425,0.58031,0.33949,1.69565,1.36684,1.62712,0.000495291,0.000495291,0.000495291
35,46084.1,1.13474,0.91272,1.20594,0.70131,0.53118,0.57623,0.33417,1.72287,1.34699,1.67056,0.000466997,0.000466997,0.000466997
36,48545.9,1.12887,0.90299,1.20069,0.70081,0.55024,0.58356,0.34252,1.67449,1.35212,1.61089,0.000438703,0.000438703,0.000438703
37,50995.2,1.12655,0.89767,1.20043,0.71592,0.53251,0.58865,0.33947,1.69338,1.35852,1.61942,0.000410409,0.000410409,0.000410409
38,53573.8,1.11097,0.88147,1.19429,0.75285,0.5147,0.58483,0.33701,1.71985,1.34742,1.65306,0.000382115,0.000382115,0.000382115
39,55844.5,1.10388,0.86701,1.18939,0.75312,0.52125,0.58507,0.34138,1.67893,1.34418,1.60792,0.00035382,0.00035382,0.00035382
40,58100.6,1.09704,0.85911,1.18231,0.72016,0.53203,0.58395,0.3411,1.69704,1.34849,1.64093,0.000325526,0.000325526,0.000325526
41,60422.3,1.03271,0.71447,1.14225,0.72315,0.52924,0.58728,0.34312,1.70367,1.37027,1.65055,0.000297232,0.000297232,0.000297232
42,62952,1.01404,0.69067,1.13344,0.70867,0.54114,0.58683,0.33751,1.70112,1.40832,1.64661,0.000268938,0.000268938,0.000268938
43,65254.9,1.00148,0.67574,1.12418,0.7192,0.51766,0.58114,0.33865,1.70844,1.37788,1.65175,0.000240644,0.000240644,0.000240644
44,67463.4,0.98764,0.66386,1.11601,0.74967,0.52153,0.58177,0.33925,1.69602,1.39367,1.65231,0.000212349,0.000212349,0.000212349
45,69742.3,0.98425,0.65486,1.11412,0.74877,0.50973,0.58998,0.34071,1.69123,1.40616,1.63989,0.000184055,0.000184055,0.000184055
46,71978.8,0.97409,0.64357,1.10975,0.70326,0.54053,0.59319,0.34294,1.68395,1.38899,1.63559,0.000155761,0.000155761,0.000155761
47,74293.7,0.96308,0.63274,1.10175,0.74093,0.53529,0.58772,0.34173,1.6794,1.34927,1.64709,0.000127467,0.000127467,0.000127467
48,76520,0.95831,0.62938,1.09642,0.72981,0.53035,0.58318,0.33999,1.67738,1.42773,1.62846,9.91726e-05,9.91726e-05,9.91726e-05
49,78751.6,0.94787,0.6196,1.09438,0.74534,0.52818,0.58854,0.34247,1.67419,1.40516,1.63571,7.08784e-05,7.08784e-05,7.08784e-05
50,80985.5,0.94391,0.61469,1.0903,0.78148,0.50972,0.58528,0.34115,1.67373,1.41714,1.63903,4.25842e-05,4.25842e-05,4.25842e-05
